time,temperature_2m (Â°C),relativehumidity_2m (%),rain (mm),snowfall (cm),weathercode (wmo code),windspeed_10m (km/h),winddirection_10m (Â°)
2022-10-01T00:00,9.3,81,0.00,0.00,1,7.3,259
2022-10-01T01:00,9.2,82,0.00,0.00,2,6.6,257
2022-10-01T02:00,9.2,83,0.00,0.00,3,6.5,251
2022-10-01T03:00,8.9,86,0.00,0.00,3,7.3,250
2022-10-01T04:00,8.4,89,0.00,0.00,2,8.7,253
2022-10-01T05:00,7.8,91,0.00,0.00,0,10.0,249
2022-10-01T06:00,7.2,93,0.00,0.00,1,9.9,251
2022-10-01T07:00,7.9,93,0.00,0.00,0,11.2,249
2022-10-01T08:00,10.0,86,0.00,0.00,1,11.0,238
2022-10-01T09:00,11.7,79,0.00,0.00,0,11.1,245
2022-10-01T10:00,13.3,68,0.00,0.00,0,13.5,254
2022-10-01T11:00,14.2,59,0.00,0.00,1,14.8,266
2022-10-01T12:00,14.6,56,0.00,0.00,1,16.2,273
2022-10-01T13:00,14.8,55,0.00,0.00,1,17.7,276
2022-10-01T14:00,14.8,56,0.00,0.00,1,17.4,277
2022-10-01T15:00,14.3,58,0.00,0.00,1,17.7,275
2022-10-01T16:00,13.7,61,0.00,0.00,1,14.1,283
2022-10-01T17:00,12.9,64,0.00,0.00,1,12.8,286
2022-10-01T18:00,12.2,66,0.00,0.00,3,13.5,286
2022-10-01T19:00,11.6,70,0.20,0.00,51,14.2,291
2022-10-01T20:00,11.0,78,0.20,0.00,51,13.8,290
2022-10-01T21:00,10.3,86,1.10,0.00,53,13.1,279
2022-10-01T22:00,9.8,93,1.20,0.00,53,13.0,273
2022-10-01T23:00,9.7,94,0.70,0.00,53,11.9,265
2022-10-02T00:00,9.7,95,0.40,0.00,51,10.7,250
2022-10-02T01:00,9.8,95,0.40,0.00,51,11.3,233
2022-10-02T02:00,9.8,94,0.70,0.00,53,12.0,224
2022-10-02T03:00,9.7,94,0.20,0.00,51,11.5,219
2022-10-02T04:00,9.5,94,0.30,0.00,51,12.1,210
2022-10-02T05:00,9.7,94,0.00,0.00,3,15.0,201
2022-10-02T06:00,10.1,94,0.00,0.00,3,18.4,192
2022-10-02T07:00,10.4,93,0.00,0.00,3,20.3,187
2022-10-02T08:00,10.9,92,0.00,0.00,3,22.4,186
2022-10-02T09:00,11.6,91,0.00,0.00,3,18.7,191
2022-10-02T10:00,12.0,90,0.10,0.00,51,18.1,193
2022-10-02T11:00,12.6,88,0.10,0.00,51,19.5,178
2022-10-02T12:00,12.7,87,0.10,0.00,51,19.1,169
2022-10-02T13:00,13.0,86,0.10,0.00,51,21.6,179
2022-10-02T14:00,13.2,84,0.10,0.00,51,20.2,176
2022-10-02T15:00,11.8,86,1.80,0.00,61,19.8,170
2022-10-02T16:00,11.8,82,0.20,0.00,51,16.3,175
2022-10-02T17:00,11.2,85,0.00,0.00,0,14.8,181
2022-10-02T18:00,10.6,88,0.00,0.00,1,14.4,184
2022-10-02T19:00,10.2,89,0.00,0.00,1,15.5,185
2022-10-02T20:00,10.3,83,0.00,0.00,1,16.9,181
2022-10-02T21:00,10.0,85,0.00,0.00,2,16.9,178
2022-10-02T22:00,9.7,89,0.00,0.00,2,17.7,176
2022-10-02T23:00,9.4,91,0.00,0.00,3,17.0,185
2022-10-03T00:00,9.3,92,0.00,0.00,3,17.7,178
2022-10-03T01:00,9.4,92,0.00,0.00,3,18.1,173
2022-10-03T02:00,9.4,91,0.00,0.00,2,18.1,174
2022-10-03T03:00,9.7,88,0.00,0.00,3,18.7,178
2022-10-03T04:00,9.6,88,0.00,0.00,3,20.7,173
2022-10-03T05:00,9.7,90,0.10,0.00,51,21.7,168
2022-10-03T06:00,10.0,90,0.20,0.00,51,23.2,156
2022-10-03T07:00,10.6,92,0.10,0.00,51,26.4,141
2022-10-03T08:00,10.9,90,0.20,0.00,51,29.0,118
2022-10-03T09:00,10.5,90,0.70,0.00,53,28.3,102
2022-10-03T10:00,10.3,88,0.20,0.00,51,24.7,98
2022-10-03T11:00,10.9,78,0.00,0.00,1,24.0,109
2022-10-03T12:00,11.9,63,0.00,0.00,1,30.3,114
2022-10-03T13:00,12.3,57,0.00,0.00,1,31.6,114
