latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.800003,20.5,133.0,3600,Europe/Warsaw,CET

time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),snowfall (cm),weathercode (wmo code),windspeed_10m (km/h),winddirection_10m (°)
2022-12-30T00:00,6.1,89,0.00,0.00,1,17.9,232
2022-12-30T01:00,6.0,90,0.00,0.00,1,16.6,229
2022-12-30T02:00,5.8,91,0.00,0.00,1,15.3,225
2022-12-30T03:00,5.5,93,0.00,0.00,2,15.1,220
2022-12-30T04:00,5.0,94,0.00,0.00,2,15.7,217
2022-12-30T05:00,4.8,93,0.20,0.00,51,16.9,218
2022-12-30T06:00,4.7,92,0.30,0.00,51,19.6,229
2022-12-30T07:00,5.0,93,0.10,0.00,51,20.1,237
2022-12-30T08:00,5.6,92,0.00,0.00,2,20.3,245
2022-12-30T09:00,5.5,90,0.00,0.00,1,20.7,250
2022-12-30T10:00,5.6,90,0.00,0.00,1,20.9,251
2022-12-30T11:00,6.0,89,0.00,0.00,1,20.3,257
2022-12-30T12:00,6.1,87,0.00,0.00,1,20.4,256
2022-12-30T13:00,6.3,86,0.00,0.00,0,18.9,252
2022-12-30T14:00,6.0,84,0.00,0.00,0,17.1,252
2022-12-30T15:00,5.2,86,0.00,0.00,0,15.0,246
2022-12-30T16:00,4.3,89,0.00,0.00,0,13.1,238
2022-12-30T17:00,3.3,92,0.00,0.00,0,12.2,227
2022-12-30T18:00,2.4,94,0.00,0.00,0,12.3,220
2022-12-30T19:00,2.1,94,0.00,0.00,1,13.2,206
2022-12-30T20:00,2.2,92,0.00,0.00,1,15.3,204
2022-12-30T21:00,2.3,92,0.00,0.00,1,16.5,200
2022-12-30T22:00,2.6,90,0.00,0.00,1,17.7,192
2022-12-30T23:00,2.9,89,0.00,0.00,1,20.6,184
2022-12-31T00:00,3.3,88,0.00,0.00,1,23.1,184
2022-12-31T01:00,3.7,86,0.00,0.00,1,23.8,190
2022-12-31T02:00,3.8,85,0.00,0.00,3,24.5,184
2022-12-31T03:00,4.1,85,0.00,0.00,2,25.4,187
2022-12-31T04:00,4.3,85,0.00,0.00,2,26.1,195
2022-12-31T05:00,4.6,85,0.10,0.00,51,25.0,203
2022-12-31T06:00,5.1,84,0.10,0.00,51,23.4,209
2022-12-31T07:00,5.9,83,0.00,0.00,3,21.9,216
2022-12-31T08:00,6.5,84,0.00,0.00,3,20.5,219
2022-12-31T09:00,6.8,86,0.00,0.00,3,19.9,221
2022-12-31T10:00,7.3,87,0.00,0.00,3,20.5,218
2022-12-31T11:00,7.7,88,0.50,0.00,53,17.6,215
2022-12-31T12:00,8.0,90,0.80,0.00,53,20.2,202
2022-12-31T13:00,8.0,92,0.50,0.00,53,22.1,202
2022-12-31T14:00,8.5,92,0.20,0.00,51,23.8,209
2022-12-31T15:00,9.2,92,0.00,0.00,3,24.4,214
2022-12-31T16:00,10.3,92,0.00,0.00,3,24.7,222
2022-12-31T17:00,11.2,91,0.30,0.00,51,25.5,226
2022-12-31T18:00,11.9,91,0.10,0.00,51,26.0,228
2022-12-31T19:00,12.4,89,0.10,0.00,51,29.5,242
2022-12-31T20:00,12.5,88,0.00,0.00,2,27.3,239
2022-12-31T21:00,12.3,88,0.10,0.00,51,26.0,239
2022-12-31T22:00,12.2,88,1.50,0.00,61,23.0,229
2022-12-31T23:00,12.6,86,0.30,0.00,51,24.8,230
2023-01-01T00:00,12.8,84,0.00,0.00,3,28.0,235
2023-01-01T01:00,12.7,82,0.00,0.00,3,27.8,239
2023-01-01T02:00,12.5,80,0.00,0.00,2,27.2,238
2023-01-01T03:00,12.6,78,0.00,0.00,2,28.1,239
2023-01-01T04:00,12.6,75,0.00,0.00,1,29.4,239
2023-01-01T05:00,12.5,73,0.00,0.00,2,29.2,241
2023-01-01T06:00,12.5,71,0.10,0.00,51,29.5,245
2023-01-01T07:00,12.4,70,0.00,0.00,2,29.8,247
2023-01-01T08:00,13.0,66,0.00,0.00,2,28.5,245
2023-01-01T09:00,13.2,64,0.00,0.00,2,28.8,246
2023-01-01T10:00,13.7,62,0.00,0.00,2,29.8,247
2023-01-01T11:00,13.9,61,0.00,0.00,2,28.6,249
2023-01-01T12:00,14.0,60,0.00,0.00,1,28.1,249
2023-01-01T13:00,14.1,61,0.00,0.00,2,27.4,251
2023-01-01T14:00,13.9,62,0.00,0.00,3,27.2,255
2023-01-01T15:00,13.6,63,0.00,0.00,2,25.9,254
2023-01-01T16:00,13.3,64,0.00,0.00,2,25.1,257
2023-01-01T17:00,12.4,67,0.00,0.00,1,24.5,256
2023-01-01T18:00,11.8,69,0.00,0.00,1,23.0,256
2023-01-01T19:00,11.1,72,0.00,0.00,1,21.6,259
2023-01-01T20:00,10.8,72,0.00,0.00,1,20.5,259
2023-01-01T21:00,10.1,76,0.00,0.00,2,17.9,260
2023-01-01T22:00,9.7,79,0.00,0.00,3,15.0,260
2023-01-01T23:00,9.0,83,0.00,0.00,2,11.5,250
2023-01-02T00:00,8.4,87,0.00,0.00,2,10.8,240
2023-01-02T01:00,8.2,89,0.00,0.00,3,10.8,240
2023-01-02T02:00,8.1,91,0.00,0.00,3,7.9,227
2023-01-02T03:00,8.1,91,0.10,0.00,51,7.9,219
2023-01-02T04:00,8.1,92,0.40,0.00,51,9.1,214
2023-01-02T05:00,8.1,93,0.40,0.00,51,9.6,200
2023-01-02T06:00,8.1,94,0.10,0.00,51,9.1,187
2023-01-02T07:00,8.2,94,0.10,0.00,51,10.2,172
2023-01-02T08:00,7.9,94,0.00,0.00,1,12.5,162
2023-01-02T09:00,8.0,93,0.00,0.00,2,15.8,168
2023-01-02T10:00,8.6,90,0.00,0.00,2,18.4,176
2023-01-02T11:00,9.1,86,0.00,0.00,2,20.2,196
2023-01-02T12:00,9.8,82,0.00,0.00,3,19.3,213
2023-01-02T13:00,10.1,80,0.70,0.00,53,18.1,215
2023-01-02T14:00,10.1,80,0.20,0.00,51,17.1,215
2023-01-02T15:00,9.9,80,0.00,0.00,3,15.8,215
2023-01-02T16:00,9.7,80,0.00,0.00,3,19.1,212
2023-01-02T17:00,9.7,79,0.10,0.00,51,20.6,216
2023-01-02T18:00,9.4,81,0.30,0.00,51,20.6,226
2023-01-02T19:00,9.4,83,0.60,0.00,53,21.5,232
2023-01-02T20:00,9.9,84,0.10,0.00,51,21.9,234
2023-01-02T21:00,10.1,82,0.00,0.00,3,23.4,239
2023-01-02T22:00,10.0,81,0.00,0.00,3,23.5,247
2023-01-02T23:00,9.7,82,0.00,0.00,3,19.4,248
2023-01-03T00:00,9.5,84,0.00,0.00,2,20.4,262
2023-01-03T01:00,8.9,87,0.00,0.00,2,21.2,285
2023-01-03T02:00,7.7,90,0.00,0.00,3,19.9,290
2023-01-03T03:00,7.1,89,0.00,0.00,3,17.6,281
2023-01-03T04:00,6.8,89,0.00,0.00,2,19.1,272
2023-01-03T05:00,6.8,88,0.00,0.00,3,21.2,269
2023-01-03T06:00,6.7,85,0.00,0.00,2,22.7,266
2023-01-03T07:00,6.1,84,0.00,0.00,1,24.5,272
2023-01-03T08:00,5.4,83,0.00,0.00,2,24.2,273
2023-01-03T09:00,5.2,82,0.00,0.00,2,24.5,273
2023-01-03T10:00,5.3,80,0.00,0.00,2,25.2,272
2023-01-03T11:00,5.5,78,0.00,0.00,2,23.8,269
2023-01-03T12:00,5.7,77,0.10,0.00,51,26.3,270
2023-01-03T13:00,5.8,77,0.10,0.00,51,20.8,261
2023-01-03T14:00,5.5,79,0.00,0.00,3,25.9,271
2023-01-03T15:00,5.2,80,0.10,0.00,51,23.9,276
2023-01-03T16:00,4.6,84,0.10,0.00,51,22.6,278
2023-01-03T17:00,4.4,86,0.10,0.00,51,21.2,280
2023-01-03T18:00,4.0,89,0.10,0.00,51,20.9,281
2023-01-03T19:00,3.9,90,0.10,0.00,51,20.9,281
2023-01-03T20:00,4.3,90,0.10,0.00,51,21.2,280
2023-01-03T21:00,4.1,91,0.10,0.00,51,20.8,279
2023-01-03T22:00,3.9,92,0.10,0.00,51,20.1,279
2023-01-03T23:00,4.0,92,0.10,0.00,51,19.2,278
2023-01-04T00:00,3.9,94,0.10,0.00,51,19.0,280
2023-01-04T01:00,3.7,94,0.10,0.00,51,17.2,281
2023-01-04T02:00,3.7,93,0.00,0.00,3,15.7,279
2023-01-04T03:00,3.4,93,0.00,0.00,2,13.3,273
2023-01-04T04:00,3.2,92,0.00,0.00,2,11.3,261
2023-01-04T05:00,2.9,91,0.00,0.00,2,11.1,245
2023-01-04T06:00,2.3,92,0.00,0.00,2,11.4,235
2023-01-04T07:00,1.5,93,0.00,0.00,2,10.8,217
2023-01-04T08:00,0.7,94,0.00,0.00,2,12.2,199
2023-01-04T09:00,0.7,93,0.00,0.00,3,14.8,194
2023-01-04T10:00,1.5,90,0.00,0.00,3,16.7,187
2023-01-04T11:00,2.4,86,0.00,0.00,3,17.7,178
2023-01-04T12:00,3.0,86,0.00,0.00,3,19.1,180
2023-01-04T13:00,3.7,85,0.00,0.00,3,20.9,179
2023-01-04T14:00,4.1,83,0.00,0.00,3,23.4,183
2023-01-04T15:00,4.3,82,0.10,0.00,51,24.3,186
2023-01-04T16:00,4.2,86,0.50,0.00,53,25.7,195
2023-01-04T17:00,3.9,89,0.80,0.00,53,26.3,202
2023-01-04T18:00,3.6,93,1.20,0.00,53,25.3,204
2023-01-04T19:00,4.1,95,0.90,0.00,53,25.3,213
2023-01-04T20:00,5.1,97,1.70,0.00,61,25.5,224
2023-01-04T21:00,5.9,97,1.10,0.00,53,26.5,236
2023-01-04T22:00,6.8,96,0.10,0.00,51,28.0,244
2023-01-04T23:00,7.2,96,0.40,0.00,51,26.7,244
