latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.800003,20.5,133.0,3600,Europe/Warsaw,CET

time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),snowfall (cm),weathercode (wmo code),windspeed_10m (km/h),winddirection_10m (°)
2022-10-31T00:00,7.3,100,0.00,0.00,3,4.3,355
2022-10-31T01:00,6.7,100,0.00,0.00,3,5.5,349
2022-10-31T02:00,6.9,100,0.00,0.00,3,6.0,335
2022-10-31T03:00,7.3,99,0.00,0.00,3,6.2,306
2022-10-31T04:00,7.4,99,0.00,0.00,3,6.6,311
2022-10-31T05:00,7.4,99,0.00,0.00,3,7.1,315
2022-10-31T06:00,7.4,99,0.00,0.00,3,7.4,309
2022-10-31T07:00,7.3,99,0.00,0.00,3,7.9,309
2022-10-31T08:00,8.0,99,0.00,0.00,3,9.2,312
2022-10-31T09:00,8.5,98,0.00,0.00,3,9.9,303
2022-10-31T10:00,9.5,95,0.00,0.00,3,8.7,294
2022-10-31T11:00,10.5,91,0.00,0.00,2,8.7,294
2022-10-31T12:00,11.5,88,0.00,0.00,1,9.5,295
2022-10-31T13:00,12.1,86,0.00,0.00,2,10.2,288
2022-10-31T14:00,12.3,85,0.00,0.00,2,9.4,288
2022-10-31T15:00,12.0,87,0.00,0.00,2,8.8,289
2022-10-31T16:00,11.4,90,0.00,0.00,3,8.0,288
2022-10-31T17:00,10.8,94,0.10,0.00,51,7.7,281
2022-10-31T18:00,10.7,94,0.10,0.00,51,7.6,273
2022-10-31T19:00,10.8,95,0.00,0.00,3,7.6,267
2022-10-31T20:00,10.9,96,0.00,0.00,3,7.9,270
2022-10-31T21:00,11.0,97,0.00,0.00,3,7.2,267
2022-10-31T22:00,11.1,97,0.00,0.00,3,6.3,257
2022-10-31T23:00,11.1,98,0.00,0.00,3,5.0,270
2022-11-01T00:00,11.1,99,0.00,0.00,3,4.1,285
2022-11-01T01:00,11.0,99,0.00,0.00,3,4.2,290
2022-11-01T02:00,11.0,100,0.00,0.00,3,3.8,287
2022-11-01T03:00,11.1,99,0.00,0.00,3,4.1,255
2022-11-01T04:00,11.1,100,0.00,0.00,3,4.1,255
2022-11-01T05:00,11.0,100,0.00,0.00,3,3.6,270
2022-11-01T06:00,11.0,100,0.00,0.00,3,4.4,279
2022-11-01T07:00,11.0,100,0.00,0.00,3,4.8,297
2022-11-01T08:00,10.8,99,0.00,0.00,3,5.2,295
2022-11-01T09:00,11.2,99,0.00,0.00,3,5.6,310
2022-11-01T10:00,11.8,93,0.00,0.00,3,6.2,324
2022-11-01T11:00,12.5,88,0.00,0.00,3,8.6,270
2022-11-01T12:00,13.1,85,0.00,0.00,3,6.8,245
2022-11-01T13:00,13.4,83,0.00,0.00,3,2.5,270
2022-11-01T14:00,13.5,82,0.10,0.00,51,1.5,315
2022-11-01T15:00,13.4,84,0.10,0.00,51,0.5,315
2022-11-01T16:00,12.7,88,0.00,0.00,3,2.3,252
2022-11-01T17:00,12.3,91,0.00,0.00,3,3.3,311
2022-11-01T18:00,12.1,93,0.00,0.00,3,5.0,300
2022-11-01T19:00,11.9,95,0.00,0.00,3,6.6,292
2022-11-01T20:00,11.3,96,0.00,0.00,3,7.6,262
2022-11-01T21:00,11.6,96,0.00,0.00,3,8.4,239
2022-11-01T22:00,11.8,97,0.00,0.00,3,8.4,227
2022-11-01T23:00,11.9,98,0.00,0.00,3,9.7,219
2022-11-02T00:00,12.0,99,0.00,0.00,3,8.9,207
2022-11-02T01:00,12.0,99,0.10,0.00,51,8.4,200
2022-11-02T02:00,12.0,99,0.20,0.00,51,8.1,193
2022-11-02T03:00,12.0,99,0.40,0.00,51,8.7,185
2022-11-02T04:00,12.0,99,0.30,0.00,51,9.8,174
2022-11-02T05:00,11.9,99,0.20,0.00,51,10.4,166
2022-11-02T06:00,11.8,99,0.00,0.00,3,10.7,166
2022-11-02T07:00,11.3,98,0.00,0.00,3,10.4,166
2022-11-02T08:00,11.1,97,0.00,0.00,2,9.8,172
2022-11-02T09:00,11.6,94,0.00,0.00,2,9.4,182
2022-11-02T10:00,12.4,87,0.00,0.00,1,10.8,184
2022-11-02T11:00,13.3,80,0.00,0.00,1,9.7,180
2022-11-02T12:00,14.1,72,0.00,0.00,1,11.2,186
2022-11-02T13:00,14.3,70,0.00,0.00,1,11.6,187
2022-11-02T14:00,14.2,73,0.00,0.00,1,11.1,193
2022-11-02T15:00,13.6,78,0.00,0.00,1,8.7,204
2022-11-02T16:00,12.2,85,0.00,0.00,1,9.2,206
