latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.800003,20.5,133.0,3600,Europe/Warsaw,CET

time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),snowfall (cm),weathercode (wmo code),windspeed_10m (km/h),winddirection_10m (°)
2022-11-30T00:00,0.1,88,0.00,0.00,3,11.3,323
2022-11-30T01:00,-0.2,90,0.00,0.00,3,11.3,323
2022-11-30T02:00,-0.4,91,0.00,0.00,3,10.7,327
2022-11-30T03:00,-0.4,89,0.00,0.00,3,11.8,322
2022-11-30T04:00,-0.6,88,0.00,0.00,3,11.0,322
2022-11-30T05:00,-0.8,87,0.00,0.00,3,12.2,317
2022-11-30T06:00,-0.9,87,0.00,0.00,3,10.4,316
2022-11-30T07:00,-0.9,86,0.00,0.00,3,10.5,319
2022-11-30T08:00,-0.5,87,0.00,0.00,3,10.1,325
2022-11-30T09:00,-0.3,82,0.00,0.00,3,13.5,318
2022-11-30T10:00,0.3,81,0.00,0.00,3,13.6,320
2022-11-30T11:00,0.7,79,0.00,0.00,3,14.1,310
2022-11-30T12:00,1.2,77,0.00,0.00,3,13.8,311
2022-11-30T13:00,1.4,76,0.00,0.00,3,12.7,313
2022-11-30T14:00,1.5,76,0.00,0.00,3,11.2,315
2022-11-30T15:00,1.3,78,0.00,0.00,3,8.1,328
2022-11-30T16:00,0.9,82,0.00,0.00,3,7.9,344
2022-11-30T17:00,0.6,85,0.00,0.00,3,9.2,349
2022-11-30T18:00,0.7,86,0.00,0.00,3,9.9,350
2022-11-30T19:00,0.4,89,0.00,0.00,3,10.8,345
2022-11-30T20:00,0.7,91,0.00,0.00,3,10.6,342
2022-11-30T21:00,0.6,93,0.00,0.00,3,10.4,340
2022-11-30T22:00,0.6,93,0.00,0.00,3,10.1,343
2022-11-30T23:00,0.6,93,0.00,0.00,3,9.0,344
2022-12-01T00:00,0.6,93,0.00,0.00,3,8.8,348
2022-12-01T01:00,0.5,93,0.00,0.00,3,8.8,351
2022-12-01T02:00,0.5,93,0.00,0.00,3,9.4,353
2022-12-01T03:00,0.4,93,0.00,0.00,3,9.7,358
2022-12-01T04:00,0.3,93,0.00,0.00,3,9.7,358
2022-12-01T05:00,0.2,92,0.00,0.00,3,9.4,356
2022-12-01T06:00,0.1,92,0.00,0.00,3,8.7,355
2022-12-01T07:00,0.1,91,0.00,0.00,3,8.0,355
2022-12-01T08:00,0.3,91,0.00,0.00,3,7.6,360
2022-12-01T09:00,0.4,89,0.00,0.00,3,8.3,2
2022-12-01T10:00,0.7,86,0.00,0.00,3,8.6,360
2022-12-01T11:00,0.9,85,0.00,0.00,3,9.0,5
2022-12-01T12:00,1.1,83,0.00,0.00,3,8.0,5
2022-12-01T13:00,1.1,82,0.00,0.00,3,7.8,13
2022-12-01T14:00,1.0,82,0.00,0.00,3,8.4,20
2022-12-01T15:00,0.9,82,0.00,0.00,3,8.2,15
2022-12-01T16:00,0.5,85,0.00,0.00,3,8.7,5
2022-12-01T17:00,0.2,85,0.00,0.00,3,8.6,360
2022-12-01T18:00,-0.1,85,0.00,0.00,3,9.0,360
2022-12-01T19:00,-0.5,84,0.00,0.00,3,9.7,356
2022-12-01T20:00,-0.8,81,0.00,0.00,3,9.6,347
2022-12-01T21:00,-1.2,81,0.00,0.00,3,8.8,341
2022-12-01T22:00,-1.4,81,0.00,0.00,3,8.3,342
2022-12-01T23:00,-1.6,79,0.00,0.00,3,6.8,342
2022-12-02T00:00,-1.8,78,0.00,0.00,3,7.3,351
2022-12-02T01:00,-2.1,78,0.00,0.00,3,8.7,353
2022-12-02T02:00,-2.3,77,0.00,0.00,3,10.0,345
2022-12-02T03:00,-2.6,77,0.00,0.00,3,10.0,339
2022-12-02T04:00,-2.8,77,0.00,0.00,3,9.0,337
2022-12-02T05:00,-2.9,76,0.00,0.00,3,8.7,336
2022-12-02T06:00,-3.0,75,0.00,0.00,3,8.7,343
2022-12-02T07:00,-3.1,74,0.00,0.00,3,9.3,347
2022-12-02T08:00,-2.7,74,0.00,0.00,3,9.1,342
2022-12-02T09:00,-2.7,75,0.00,0.00,3,8.4,335
2022-12-02T10:00,-2.5,74,0.00,0.00,3,8.1,339
2022-12-02T11:00,-2.2,73,0.00,0.00,3,8.5,332
2022-12-02T12:00,-1.9,72,0.00,0.00,3,8.2,337
2022-12-02T13:00,-1.7,72,0.00,0.00,3,7.9,344
2022-12-02T14:00,-1.6,72,0.00,0.00,3,7.9,357
2022-12-02T15:00,-1.7,73,0.00,0.00,3,9.4,4
2022-12-02T16:00,-2.2,77,0.00,0.00,3,10.4,358
2022-12-02T17:00,-2.3,78,0.00,0.00,3,10.9,352
2022-12-02T18:00,-2.2,77,0.00,0.00,3,10.7,348
2022-12-02T19:00,-2.4,78,0.00,0.00,3,11.1,347
2022-12-02T20:00,-3.0,74,0.00,0.00,3,10.7,346
2022-12-02T21:00,-3.1,75,0.00,0.00,3,11.2,345
2022-12-02T22:00,-3.2,76,0.00,0.00,3,11.3,343
2022-12-02T23:00,-3.2,76,0.00,0.00,3,10.0,339
2022-12-03T00:00,-3.3,78,0.00,0.00,3,9.4,353
2022-12-03T01:00,-3.2,78,0.00,0.00,3,9.7,2
2022-12-03T02:00,-3.3,79,0.00,0.00,3,10.5,6
2022-12-03T03:00,-3.2,79,0.00,0.00,3,11.2,4
2022-12-03T04:00,-3.4,81,0.00,0.00,3,11.9,3
2022-12-03T05:00,-3.2,79,0.00,0.00,3,13.3,360
2022-12-03T06:00,-3.1,78,0.00,0.00,3,13.0,358
2022-12-03T07:00,-3.0,78,0.00,0.00,3,12.4,352
2022-12-03T08:00,-3.3,79,0.00,0.00,3,12.5,348
2022-12-03T09:00,-3.1,79,0.00,0.07,71,12.4,343
2022-12-03T10:00,-2.8,79,0.00,0.21,73,12.0,344
2022-12-03T11:00,-2.6,81,0.00,0.35,73,11.6,344
2022-12-03T12:00,-2.6,83,0.00,0.49,73,11.2,339
2022-12-03T13:00,-2.6,87,0.00,0.56,73,10.6,342
2022-12-03T14:00,-2.5,88,0.00,0.42,73,12.5,342
2022-12-03T15:00,-2.3,88,0.10,0.21,73,12.4,338
2022-12-03T16:00,-2.5,91,0.00,0.07,71,10.7,340
2022-12-03T17:00,-2.5,91,0.00,0.00,3,11.3,333
2022-12-03T18:00,-2.3,91,0.00,0.00,3,11.8,329
2022-12-03T19:00,-2.0,91,0.00,0.00,3,11.8,322
2022-12-03T20:00,-1.8,92,0.00,0.00,3,11.8,320
2022-12-03T21:00,-1.6,92,0.00,0.00,3,10.7,320
2022-12-03T22:00,-1.4,93,0.00,0.00,3,10.8,323
2022-12-03T23:00,-1.3,94,0.00,0.00,3,11.3,323
2022-12-04T00:00,-1.1,95,0.00,0.00,3,11.7,326
2022-12-04T01:00,-0.9,95,0.00,0.00,3,12.6,333
2022-12-04T02:00,-0.8,96,0.00,0.00,3,13.8,332
