latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.800003,20.5,133.0,3600,Europe/Warsaw,CET

time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),snowfall (cm),weathercode (wmo code),windspeed_10m (km/h),winddirection_10m (°)
2023-01-10T00:00,3.6,98,0.00,0.00,3,9.0,247
2023-01-10T01:00,3.6,98,0.00,0.00,3,8.9,243
2023-01-10T02:00,3.6,98,0.00,0.00,3,8.8,251
2023-01-10T03:00,3.6,98,0.00,0.00,3,8.6,268
2023-01-10T04:00,3.7,98,0.00,0.00,3,8.3,268
2023-01-10T05:00,3.6,97,0.00,0.00,3,7.8,283
2023-01-10T06:00,3.5,97,0.00,0.00,3,5.7,288
2023-01-10T07:00,3.3,97,0.00,0.00,3,5.8,277
2023-01-10T08:00,2.8,97,0.00,0.00,3,6.5,289
2023-01-10T09:00,2.6,97,0.00,0.00,3,7.4,299
2023-01-10T10:00,3.2,96,0.00,0.00,3,6.5,304
2023-01-10T11:00,4.0,93,0.00,0.00,3,5.1,315
2023-01-10T12:00,4.2,92,0.00,0.00,3,5.1,309
2023-01-10T13:00,4.3,92,0.00,0.00,3,4.3,318
2023-01-10T14:00,4.2,92,0.00,0.00,3,1.0,45
2023-01-10T15:00,3.9,92,0.00,0.00,3,1.5,194
2023-01-10T16:00,3.3,95,0.00,0.00,3,4.0,243
2023-01-10T17:00,2.8,96,0.00,0.00,3,4.8,243
2023-01-10T18:00,2.5,97,0.00,0.00,2,6.0,245
2023-01-10T19:00,2.3,97,0.00,0.00,3,7.0,258
2023-01-10T20:00,1.4,99,0.00,0.00,3,4.9,234
2023-01-10T21:00,1.7,99,0.00,0.00,3,5.1,225
2023-01-10T22:00,1.6,99,0.00,0.00,3,4.6,231
2023-01-10T23:00,1.2,99,0.00,0.00,3,3.9,214
2023-01-11T00:00,0.9,100,0.00,0.00,3,4.9,216
2023-01-11T01:00,1.4,100,0.00,0.00,3,5.8,210
2023-01-11T02:00,1.7,99,0.00,0.00,3,6.0,205
2023-01-11T03:00,1.5,100,0.00,0.00,3,6.6,189
2023-01-11T04:00,1.8,99,0.00,0.00,3,8.3,180
2023-01-11T05:00,1.8,99,0.00,0.00,3,9.7,180
2023-01-11T06:00,1.9,99,0.00,0.00,3,11.3,173
2023-01-11T07:00,2.0,99,0.00,0.00,3,13.8,171
2023-01-11T08:00,1.5,99,0.00,0.00,3,16.0,172
2023-01-11T09:00,1.8,99,0.00,0.00,3,17.4,173
2023-01-11T10:00,2.3,99,0.00,0.00,3,18.5,173
2023-01-11T11:00,2.8,96,0.00,0.00,3,19.2,172
2023-01-11T12:00,3.2,93,0.00,0.00,3,20.2,175
2023-01-11T13:00,3.5,90,0.00,0.00,3,22.0,176
2023-01-11T14:00,3.5,89,0.00,0.00,3,21.4,172
2023-01-11T15:00,3.2,89,0.00,0.00,3,22.0,170
2023-01-11T16:00,2.8,90,0.00,0.00,3,22.3,171
2023-01-11T17:00,2.7,90,0.00,0.00,3,23.2,173
2023-01-11T18:00,2.7,90,0.00,0.00,3,23.6,173
2023-01-11T19:00,2.7,90,0.20,0.00,51,23.6,172
2023-01-11T20:00,3.1,89,0.10,0.00,51,22.8,174
2023-01-11T21:00,3.2,88,0.20,0.00,51,22.0,176
2023-01-11T22:00,3.3,89,0.20,0.00,51,21.3,177
2023-01-11T23:00,3.1,92,0.30,0.00,51,19.8,179
2023-01-12T00:00,3.1,92,0.50,0.00,53,18.4,186
2023-01-12T01:00,3.3,93,0.70,0.00,53,16.6,193
2023-01-12T02:00,3.6,94,0.50,0.00,53,15.7,200
2023-01-12T03:00,3.9,95,0.20,0.00,51,14.7,211
2023-01-12T04:00,4.2,96,0.00,0.00,3,14.1,218
2023-01-12T05:00,4.5,97,0.00,0.00,3,14.6,220
2023-01-12T06:00,4.9,98,0.00,0.00,3,14.9,217
2023-01-12T07:00,5.2,98,0.00,0.00,3,16.3,215
2023-01-12T08:00,5.3,97,0.00,0.00,3,17.5,217
2023-01-12T09:00,5.5,95,0.00,0.00,2,18.2,214
2023-01-12T10:00,5.6,92,0.00,0.00,1,19.3,209
2023-01-12T11:00,5.9,89,0.00,0.00,0,19.0,207
2023-01-12T12:00,6.2,87,0.00,0.00,1,18.7,199
2023-01-12T13:00,6.4,86,0.00,0.00,3,18.8,197
2023-01-12T14:00,6.4,85,0.00,0.00,3,21.3,202
2023-01-12T15:00,6.2,85,0.00,0.00,3,21.2,195
2023-01-12T16:00,5.9,86,0.00,0.00,3,23.6,192
2023-01-12T17:00,5.7,86,0.00,0.00,2,25.1,196
2023-01-12T18:00,5.8,85,0.00,0.00,1,25.8,199
2023-01-12T19:00,6.0,84,0.00,0.00,1,26.1,200
2023-01-12T20:00,5.9,82,0.00,0.00,3,26.1,203
2023-01-12T21:00,6.2,81,0.00,0.00,3,25.5,203
2023-01-12T22:00,6.5,79,0.00,0.00,3,24.7,203
2023-01-12T23:00,6.5,80,0.00,0.00,3,21.9,205

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),winddirection_10m_dominant (°)
2023-01-10,3,4.3,1.2,0.00,0.00,9.0,266
2023-01-11,51,3.5,0.9,1.00,0.00,23.6,175
2023-01-12,53,6.5,3.1,1.90,0.00,26.1,203
